Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M,300.4,309.8,1435,43.6,203
L,297.4,308.3,1571,37.7,162
L,300.3,311.7,1635,31.8,156
M,300.0,309.6,1491,42.0,29
M,303.6,312.3,1915,22.3,116
M,297.6,308.3,1567,34.6,71
M,299.5,309.3,1506,41.5,77
L,301.5,310.7,1568,33.1,38
M,299.8,309.6,1331,50.2,98
L,295.9,306.6,1412,41.0,109
L,301.4,310.7,1989,21.8,19
L,301.7,310.7,1763,25.9,3
M,301.2,312.4,1505,39.6,102
M,299.4,309.3,1485,47.1,209
L,301.1,311.1,1711,29.1,170
H,298.7,309.8,1422,40.7,85
L,300.3,309.3,1612,36.0,158
L,299.8,311.3,1727,30.0,24
L,297.3,308.7,1587,35.8,148
M,296.9,308.0,1409,50.7,43
L,300.7,310.2,1639,31.4,48
L,302.7,310.7,1398,57.7,19
M,301.2,310.3,1357,54.5,49
L,299.6,311.0,1708,31.0,122
M,300.0,310.5,1790,25.7,123
H,298.5,309.4,1573,33.6,143
M,299.9,309.3,1389,52.8,0
M,300.7,309.6,1421,49.8,165
L,297.4,309.4,1620,35.4,51
L,303.8,312.8,1646,35.8,143
L,300.4,311.5,1596,32.5,154
M,299.1,310.1,1412,44.4,24
M,303.5,312.2,1818,23.6,109
H,297.3,308.5,1435,55.0,104
L,302.7,311.7,1480,45.2,8
L,301.4,310.9,1414,38.8,162
L,301.6,310.8,1726,26.7,150
L,297.4,308.3,1490,42.6,164
L,302.7,312.1,1728,24.4,146
L,300.6,310.4,2514,13.4,215
L,300.3,311.4,1526,38.5,101
L,296.9,307.8,1571,35.0,102
L,297.3,308.5,1350,57.6,186
M,299.7,310.4,1410,44.5,105
L,298.1,308.9,1351,52.4,102
M,297.8,308.3,1567,35.6,131
L,300.3,311.5,1634,31.9,36
L,298.4,309.1,1579,36.1,123
H,297.4,308.7,1349,48.9,120
L,298.5,308.3,1811,24.7,27
H,297.5,308.7,1416,39.2,74
M,300.2,311.6,1510,47.5,146
M,298.0,307.9,1479,47.6,76
M,298.2,308.7,1361,44.2,0
M,299.7,309.1,1851,24.7,189
L,301.5,310.8,1367,49.0,193
M,299.1,310.1,1649,31.6,41
L,301.5,311.1,1459,45.1,97
M,298.0,308.0,1620,29.4,75
L,298.0,307.7,1435,45.6,184
H,300.9,310.7,1656,30.7,200
H,297.6,309.0,1354,55.6,46
M,300.9,310.8,1695,30.2,188
H,299.8,309.3,1595,32.1,183
M,301.3,309.9,1565,36.0,213
L,298.3,308.1,1528,33.9,82
L,297.2,307.9,1580,35.8,140
M,298.9,308.5,1555,37.6,142
L,298.8,308.9,1379,46.7,204
L,303.9,313.1,1586,31.9,108
L,300.5,311.7,1409,54.7,104
L,300.8,310.8,1460,53.8,41
L,297.0,308.3,1492,48.1,137
L,301.1,311.3,1630,29.5,51
L,301.8,310.6,1403,46.8,151
L,296.9,307.6,1452,45.7,122
M,302.7,312.2,1350,58.6,2
H,297.3,307.9,1461,37.5,161
L,302.0,310.0,1664,28.6,190
L,303.5,312.5,1380,46.1,166
M,295.8,306.5,1641,32.2,101
M,300.8,312.6,1588,35.6,114
L,299.3,309.2,1511,37.2,129
M,300.8,310.9,1514,38.7,66
M,297.7,308.5,1559,35.2,127
L,298.2,308.7,1436,49.1,26
L,302.5,310.5,1463,43.0,189
M,302.3,311.0,1450,45.7,175
M,302.1,311.1,1423,36.8,80
L,302.4,311.9,1452,43.1,137
M,297.6,308.1,1379,57.4,122
M,301.5,310.4,1486,39.6,144
M,302.2,311.2,1544,43.6,63
M,302.3,311.0,1421,41.3,182
M,302.5,310.3,1411,49.5,110
L,302.1,310.1,1543,35.8,164
M,297.5,308.2,1713,32.2,17
L,302.2,311.7,1471,45.6,140
L,296.9,307.9,1435,41.6,139
L,304.4,313.6,1507,43.1,13
L,299.4,310.6,1348,54.5,22
L,297.8,307.4,1512,40.8,137
H,298.4,308.7,1344,52.9,130
M,301.9,310.4,1373,48.0,73
L,297.7,308.4,1740,27.1,136
M,300.5,309.3,1539,39.1,216
M,301.7,310.9,1300,62.7,36
L,297.7,308.7,1731,28.4,104
M,300.8,310.8,1461,41.3,53
L,296.9,308.0,1521,34.5,84
M,300.0,309.9,1651,28.1,114
L,304.2,313.6,1469,40.0,154
L,300.6,310.7,1750,30.6,171
M,298.7,309.2,1423,48.9,187
M,300.0,309.6,1423,48.7,67
L,299.3,310.4,1629,32.6,177
L,299.6,309.3,1558,34.8,115
M,297.4,308.6,1657,33.1,156
M,300.8,309.7,1482,39.0,171
L,297.6,309.4,1491,40.2,231
L,302.5,311.9,1401,44.9,203
L,300.7,310.3,1533,35.6,198
L,299.8,310.9,1545,40.7,166
H,300.9,312.0,1720,27.9,202
M,297.8,307.3,1804,26.0,222
M,298.0,308.1,1587,32.3,30
H,300.5,309.5,1635,34.2,62
L,300.5,311.9,1546,39.4,203
M,302.9,311.1,1926,21.8,58
L,300.3,310.1,1483,39.9,174
M,300.9,309.5,1758,26.8,116
H,299.7,309.6,1433,49.6,129
M,301.8,311.1,1399,41.8,125
H,297.8,309.0,1410,48.8,23
L,299.8,309.5,1590,28.5,23
H,296.9,307.8,1345,54.5,172
M,300.8,310.7,1924,22.4,36
H,302.2,310.9,1415,48.4,185
M,303.9,313.3,1567,35.0,168
L,304.1,313.6,1556,37.4,129
L,297.4,308.9,1708,28.8,174
L,302.2,311.1,1630,34.6,94
L,301.6,311.2,1408,42.9,89
L,301.7,310.6,1486,38.5,78
L,298.8,308.4,1737,27.7,130
L,299.3,308.6,1744,26.4,33
L,299.6,310.1,1553,38.0,83
L,298.8,309.9,1486,40.3,126
L,297.9,307.8,1451,38.2,80
H,297.9,308.9,1416,39.6,45
M,300.8,311.9,1761,29.0,113
L,299.3,309.3,1528,37.8,45
M,300.3,311.9,1677,30.8,48
L,300.6,309.8,1418,42.7,147
M,300.6,310.0,1302,62.9,87
H,298.2,307.9,1462,45.5,171
L,296.8,308.1,1356,48.3,201
L,297.5,308.9,1554,34.8,204
L,300.2,310.4,1518,41.8,5
H,296.3,307.1,1774,25.9,154
L,299.0,308.6,1429,37.7,126
M,297.8,308.5,1488,41.9,196
L,301.4,311.1,1494,41.9,142
H,297.1,308.2,1527,42.2,199
H,302.7,312.1,1603,32.5,148
L,302.4,310.3,1479,36.2,115
M,297.1,308.4,1615,32.6,184
L,299.6,309.2,1602,37.3,31
L,297.4,308.3,1347,45.8,43
H,299.1,309.9,1443,40.3,0
M,295.6,306.2,1584,33.6,81
H,302.2,311.1,1553,34.1,89
M,302.2,311.4,1372,55.1,9
L,298.4,308.1,1279,53.1,9
L,302.3,310.9,1720,28.1,178
H,302.3,311.7,1449,44.5,152
L,299.5,309.0,1498,44.6,101
L,300.7,312.3,1590,36.3,93
L,298.3,308.1,1505,46.1,80
L,297.4,308.8,1651,34.1,163
H,302.6,310.3,1721,27.4,79
L,300.8,310.5,1482,39.0,47
H,300.9,312.0,1397,42.7,212
L,302.1,311.3,1634,30.6,50
M,302.4,311.9,1313,55.7,102
L,301.2,310.4,1381,49.8,115
L,298.5,308.7,1575,33.9,128
L,303.0,311.2,1456,44.0,142
M,297.9,307.4,1435,42.9,18
L,302.9,312.4,1698,33.8,202
L,303.6,311.8,1222,66.8,148
M,297.3,308.3,1501,38.2,2
L,298.2,309.0,1377,57.8,8
M,299.2,308.3,1755,26.4,19
L,299.1,310.6,1380,44.7,170
M,298.3,308.6,1589,37.1,137
L,299.9,309.5,2008,20.4,165
H,302.5,312.0,1357,42.0,179
L,297.3,308.3,1484,43.9,13
L,298.3,307.9,1399,47.8,99
L,304.1,313.2,1569,35.8,146
L,301.3,310.6,1436,44.2,76
M,304.2,313.6,1424,43.7,151
M,300.4,311.8,1553,33.1,209
L,297.9,307.7,1546,37.6,72
L,300.7,311.3,1522,35.2,48
L,303.0,311.1,1980,20.2,137
M,297.5,308.4,1369,54.8,145
L,296.2,306.8,1655,31.1,136
L,300.4,311.8,1433,42.2,14
L,297.0,307.7,1447,46.4,8
L,299.2,308.5,1445,45.2,222
L,303.7,312.8,1627,31.7,40
L,300.1,309.3,1654,31.0,201
L,297.4,309.4,1466,45.5,53
M,302.6,312.0,1496,45.0,79
M,302.3,311.7,1685,30.8,130
M,303.1,311.3,1847,24.7,212
M,300.5,309.7,1389,43.3,9
L,301.6,310.5,1397,49.4,104
L,300.0,309.3,1887,22.6,120
L,299.4,308.7,1512,37.2,126
M,297.8,309.7,1700,31.3,200
L,302.7,312.3,1421,48.5,0
L,300.8,312.0,1416,46.5,7
H,299.4,308.9,1762,29.3,91
L,298.8,309.9,1568,33.7,13
L,300.2,311.0,1255,71.8,149
M,298.9,309.2,1581,36.7,101
M,298.9,310.1,1655,31.5,172
L,299.7,309.3,1592,34.2,8
L,301.0,311.0,1437,56.0,33
M,300.1,311.5,1343,46.2,28
H,303.7,311.9,1332,52.7,66
H,301.5,310.7,1394,46.7,130
L,296.0,306.7,1917,21.0,127
M,296.9,308.0,1497,44.8,57
L,298.8,310.1,1607,39.5,105
L,299.2,308.4,1436,41.8,28
L,298.4,309.2,1692,29.8,137
L,298.8,308.6,1872,22.5,82
M,300.9,311.5,1836,21.8,12
L,303.7,312.4,1512,39.2,184
L,299.3,309.0,1516,38.7,64
L,299.7,309.6,1419,45.1,170
L,299.4,309.0,1391,58.2,135
L,298.0,308.6,1313,50.8,170
H,299.8,309.7,1368,47.4,148
M,301.5,310.5,1623,33.5,157
L,301.7,310.7,1605,33.3,220
L,297.5,308.9,1390,44.6,140
L,301.6,310.4,1561,35.3,156
M,298.9,308.6,1425,49.6,35
L,298.8,310.6,1602,39.1,211
L,298.3,309.1,1472,40.1,31
L,301.5,310.5,1702,28.7,135
L,298.2,308.1,1618,34.7,39
M,299.7,310.5,1594,35.4,134
L,299.8,311.1,1466,46.1,58
L,299.1,308.5,1415,43.4,0
L,301.2,310.8,1461,40.6,47
L,300.5,310.5,1646,34.5,63
M,304.2,313.4,1411,54.8,44
L,299.2,310.3,1429,40.1,23
L,301.5,310.6,1481,46.8,20
L,302.5,311.9,1265,59.8,119
M,301.4,310.9,1557,39.3,174
L,298.8,309.7,1751,29.6,160
L,298.8,308.1,1472,53.5,28
L,300.5,309.9,1382,46.5,134
L,297.9,307.9,1412,44.5,85
L,300.6,310.7,1438,48.5,78
L,300.4,309.8,1513,32.9,117
M,300.6,311.6,1473,31.5,69
M,297.3,308.8,1447,57.4,134
L,299.3,308.7,1408,48.7,85
L,300.7,311.8,1336,58.4,189
H,302.2,311.3,1749,29.2,5
L,299.1,308.6,1260,57.8,152
L,297.6,308.6,2384,14.4,171
L,302.3,310.8,1723,26.3,213
M,300.2,309.6,1556,35.8,36
L,298.1,308.7,1642,30.3,3
H,302.8,312.3,1336,57.5,187
L,302.2,311.5,1616,34.0,19
M,299.5,309.2,1314,61.8,45
H,300.8,310.9,1425,44.0,33
L,302.4,311.5,1785,24.8,45
L,301.5,310.4,1425,54.4,7
M,298.2,308.9,1408,38.8,20
L,300.4,310.8,1390,52.5,144
L,299.1,310.2,1569,38.2,155
H,301.0,310.1,1756,30.7,2
L,300.0,309.8,1474,40.6,78
L,302.4,311.8,1320,56.4,100
M,300.3,311.3,1377,53.8,125
L,297.3,308.6,1586,37.7,155
L,302.5,311.9,1497,41.6,123
L,299.0,310.1,1447,42.8,104
L,298.6,309.8,1332,46.4,76
H,302.3,311.6,1441,53.9,74
M,298.7,308.5,1360,52.9,69
L,297.5,308.5,1335,48.0,131
L,298.2,308.4,1310,61.0,189
L,300.7,310.9,1521,39.4,61
M,300.7,311.0,1263,52.3,104
L,302.2,310.6,1348,48.4,161
L,298.2,309.4,1398,52.9,79
L,295.6,306.2,1424,42.5,58
L,301.3,311.3,1509,42.5,213
L,302.6,311.4,1738,25.8,128
L,300.8,309.7,1519,35.8,14
L,298.3,309.1,1537,43.0,123
L,297.3,308.5,1545,34.3,74
L,300.1,311.3,1547,40.0,201
L,301.4,310.6,1578,33.0,181
M,299.7,310.5,1492,39.3,131
L,298.5,309.6,1582,40.3,103
L,301.0,310.9,1473,44.2,116
L,297.9,309.0,1629,29.0,26
L,300.6,310.7,1397,53.7,80
L,300.8,312.1,1505,41.3,173
M,300.1,309.4,1349,56.2,127
M,301.5,310.7,1510,36.0,64
M,302.3,311.2,1507,47.7,70
L,298.7,309.5,1673,30.8,141
L,297.4,308.5,1643,33.8,132
H,300.8,310.4,1419,46.4,200
L,300.4,311.6,1674,33.0,172
L,298.6,310.0,1334,48.0,42
L,297.4,308.7,1429,57.4,96
H,299.0,308.7,1940,19.9,98
M,298.1,308.1,1390,49.8,85
L,297.9,307.8,1505,37.3,100
H,302.4,310.1,1597,28.9,179
M,304.0,313.2,1500,40.6,124
H,302.1,310.1,1615,29.9,176
H,300.0,309.6,1629,32.3,89
L,300.1,309.7,1351,58.2,155
M,300.7,310.6,1778,27.1,215
L,304.0,313.1,1648,35.7,119
L,304.2,313.4,1490,44.0,41
M,299.9,309.4,1487,42.2,198
L,297.1,308.5,1733,28.7,50
L,300.5,309.9,1423,47.9,114
M,298.0,307.5,1431,52.9,92
L,303.6,312.9,1381,57.8,27
M,300.3,311.2,1381,65.2,136
L,299.9,310.4,1408,38.4,144
M,297.4,308.6,1604,32.8,85
M,303.8,312.6,1768,23.9,149
L,298.3,308.6,1499,38.3,142
L,298.4,310.1,1455,42.2,94
L,298.2,307.7,1688,32.4,91
M,297.5,309.2,1804,27.4,215
H,299.3,308.8,1636,35.5,180
L,301.4,311.3,2323,15.9,50
L,301.3,310.1,1662,31.0,37
L,295.5,306.0,1597,37.2,16
L,297.9,309.0,1382,43.9,116
L,302.8,312.3,1366,49.1,221
L,300.0,309.5,1925,21.9,9
L,302.5,311.5,1493,35.1,131
L,297.5,308.5,1597,36.4,112
L,300.7,309.5,1685,31.1,27
L,299.8,309.2,1760,25.9,63
L,298.0,308.7,1629,34.3,191
M,298.4,308.5,1576,27.4,55
M,297.6,309.6,1330,53.1,7
L,303.4,312.8,1360,50.8,94
M,298.0,308.1,1403,44.8,148
M,301.0,312.2,1629,32.6,69
M,303.5,312.5,1353,51.0,172
L,298.8,308.6,1431,45.7,97
L,298.8,309.9,1428,42.4,132
L,300.2,311.6,1356,53.5,132
L,301.0,312.2,1264,59.0,57
M,299.3,308.7,1390,49.3,215
H,301.4,310.4,1610,38.6,16
L,296.2,307.1,1444,46.7,194
H,304.2,313.5,1684,29.8,156
M,302.7,311.6,1501,38.8,171
L,298.1,307.4,1608,33.9,193
L,298.8,308.5,1444,42.2,83
M,297.4,308.3,1535,34.6,51
M,299.2,308.3,1582,45.5,107
H,300.4,309.8,1448,39.7,107
L,301.0,310.5,1378,44.4,83
L,295.8,306.5,1493,40.5,90
L,301.7,310.6,1447,56.9,47
M,299.4,309.0,1939,19.8,204
L,299.7,310.6,1616,35.1,142
H,298.1,309.1,1425,44.5,49
M,298.8,309.7,1499,40.3,154
L,303.2,311.4,1324,54.2,228
M,301.3,310.8,1494,35.3,54
M,300.2,311.6,1608,35.0,212
M,299.9,309.2,1548,35.7,97
L,298.8,309.8,1508,36.3,69
M,297.6,309.3,1529,41.9,3
M,300.5,311.5,1370,56.1,7
M,298.9,309.6,1472,46.0,199
L,298.0,307.6,1548,45.8,111
M,299.3,308.4,1542,37.5,203
L,298.4,309.4,1385,43.2,119
L,300.0,311.4,1476,39.0,92
L,301.5,310.6,1522,41.0,114
M,297.7,308.8,1388,45.6,190
L,301.7,310.2,1435,48.1,12
L,302.6,311.5,1609,36.0,162
L,296.8,307.6,1588,37.6,126
M,302.4,310.1,1379,48.9,107
M,300.1,310.1,1501,39.3,195
M,301.1,311.3,1836,22.8,31
M,300.7,310.8,1724,30.0,76
L,302.6,311.9,1397,46.9,82
M,297.9,307.8,1303,59.3,75
M,297.7,308.9,1327,63.7,21
M,302.1,310.6,1517,38.9,2
M,297.2,308.5,1604,34.9,200
L,298.1,308.6,1558,42.4,14
M,299.6,310.2,1620,30.0,70
L,298.0,309.6,1403,51.3,122
H,298.4,307.9,1700,28.2,120
L,303.1,312.4,1407,41.2,107
L,303.4,311.8,1438,58.9,22
L,300.3,311.4,1471,37.0,114
L,300.6,311.8,1471,41.4,39
L,303.7,312.3,1375,46.2,98
L,300.1,309.6,1565,34.8,32
L,300.9,311.0,2003,20.2,138
M,302.2,311.5,1449,44.5,113
L,301.4,310.8,1770,24.1,112
L,298.4,309.1,1417,40.6,121
L,298.2,307.8,1528,31.1,194
L,301.8,311.0,1529,41.6,12
L,297.8,308.4,1612,32.1,183
L,300.2,310.1,1392,47.9,201
L,301.3,311.1,1647,28.2,140
H,299.4,309.1,1547,40.9,50
H,300.3,309.9,1677,30.1,130
L,300.1,311.4,1418,47.7,73
L,297.3,307.9,1417,41.8,186
M,299.7,309.2,1608,34.4,68
H,298.2,307.6,1318,55.7,0
M,300.9,312.6,1555,40.6,109
M,299.2,308.4,1476,32.7,101
L,303.6,312.9,1480,41.4,135
L,297.4,308.6,1532,38.7,136
L,299.8,310.3,1524,34.2,196
M,301.7,311.0,1311,46.8,136
L,297.9,307.3,1824,26.3,5
L,300.1,311.4,1604,35.0,191
L,302.2,310.7,1769,24.9,91
M,303.8,312.6,1684,29.3,167
L,297.3,308.5,1456,54.2,179
L,302.1,311.2,1454,46.8,0
L,302.5,311.1,1499,38.8,135
L,300.6,311.8,1501,44.8,226
L,300.6,309.9,1428,48.8,109
L,298.9,308.6,1560,32.2,118
M,298.3,307.8,1457,52.5,98
M,300.7,311.2,1769,26.5,63
L,297.6,309.0,1528,33.8,22
L,301.0,312.3,1488,42.6,107
L,300.0,309.6,1738,28.7,51
L,300.1,309.4,1694,27.4,44
L,299.3,308.6,1371,50.5,136
L,302.6,311.9,1598,35.5,69
L,295.6,306.2,1263,61.8,27
L,297.4,308.3,1395,48.7,21
M,300.3,309.8,1617,40.8,158
M,301.8,311.0,1839,23.6,30
H,302.3,310.2,1443,54.6,120
M,299.5,310.1,1659,31.5,44
L,299.3,308.6,1384,53.6,218
L,302.4,310.1,1426,46.8,95
L,299.3,308.9,1623,31.1,152
M,303.8,312.4,1597,33.4,203
M,298.1,308.7,1581,47.4,51
L,300.8,310.2,1492,46.3,187
L,296.2,307.2,1382,52.0,201
M,300.3,309.1,1458,44.3,175
M,296.9,307.8,1544,37.6,109
L,299.3,309.1,1293,53.7,189
M,298.3,308.0,1766,26.0,96
L,299.1,308.2,1409,46.4,12
L,295.7,306.3,1490,34.3,97
L,304.1,313.3,1883,24.5,190
L,301.7,310.2,1486,43.0,66
M,298.8,310.1,1243,74.5,194
L,299.8,311.2,1664,28.3,173
M,303.9,313.4,1464,49.1,171
L,301.3,310.8,1428,55.2,88
H,297.6,308.3,1400,44.3,43
L,298.3,309.6,1420,44.1,197
L,299.3,308.6,1314,48.2,65
H,297.7,307.4,1432,40.2,132
M,300.5,311.4,1312,51.4,60
L,298.9,310.0,1776,25.7,51
M,297.8,307.9,1802,25.8,43
L,302.0,311.2,1845,27.3,45
L,297.4,308.4,1392,49.7,174
M,297.6,307.1,1526,39.1,39
M,301.0,312.1,1664,28.4,168
M,300.5,311.8,1591,42.0,182
M,298.2,308.0,1969,21.7,32
L,300.4,310.1,1503,42.2,196
L,300.5,309.3,1470,40.8,219
L,300.4,309.7,1685,31.3,152
M,296.9,307.8,1828,24.6,91
L,303.3,311.6,1514,34.7,130
L,301.4,310.4,1559,36.0,196
L,300.9,310.8,1493,45.8,57
L,298.1,307.5,1684,33.1,200
L,300.6,310.5,1509,43.1,31
M,301.0,311.5,1550,34.9,162
L,300.5,311.9,1432,43.1,16
M,301.3,310.5,1481,39.7,85
L,301.1,312.4,1430,37.9,124
M,298.7,310.3,1495,38.7,88
H,303.0,311.2,1503,37.0,152
M,299.7,311.1,1618,30.3,125
L,298.9,309.8,1534,42.1,23
H,296.9,308.0,1416,46.9,105
L,298.9,310.0,1470,45.9,109
M,302.6,311.0,1329,48.6,111
M,301.5,310.6,1573,37.4,37
L,303.5,312.0,1756,29.7,28
M,297.5,308.7,1546,38.0,123
M,301.9,310.9,1641,33.2,3
H,303.7,312.9,1460,49.8,2
L,299.9,309.5,1779,26.1,169
L,299.0,310.0,1672,33.2,144
L,300.6,309.4,1556,36.0,98
M,300.8,310.7,1886,21.1,44
M,298.1,307.6,1764,27.7,23
L,297.2,308.6,1500,37.1,161
M,304.0,313.1,1694,31.4,116
L,298.9,308.4,1301,51.1,138
L,298.3,308.4,1490,41.7,170
M,296.0,306.6,1628,36.8,121
L,300.4,310.5,2424,14.5,12
L,303.2,311.2,1404,50.9,31
L,298.0,307.7,1407,43.9,205
L,299.0,310.2,1477,37.9,60
L,302.5,311.5,1677,29.2,49
L,300.8,311.7,1578,31.4,219
L,301.9,310.3,1398,44.0,65
L,302.3,311.3,1439,41.8,96
L,301.2,310.4,1390,49.9,74
L,299.7,309.1,1715,27.8,192
L,297.5,308.5,1446,41.9,32
L,299.2,309.1,1605,34.3,107
L,299.3,310.5,1281,59.8,15
H,304.0,313.1,1472,45.5,166
L,300.8,310.9,1311,55.8,118
L,302.7,312.4,1453,47.3,62
L,297.7,309.3,1559,36.9,145
M,299.7,309.1,1576,36.4,149
M,298.0,307.6,1792,26.0,119
L,300.4,309.5,1349,50.4,30
L,298.8,310.5,1464,46.4,207
M,300.9,310.4,1375,44.7,87
L,300.7,310.2,1696,27.5,73
M,297.3,308.2,1452,38.2,44
M,295.9,306.6,1532,38.6,104
H,301.6,310.6,1400,49.5,211
L,297.3,308.1,1566,35.7,156
M,303.4,311.7,1515,44.2,168
M,300.0,309.1,1474,45.2,152
L,301.3,310.6,1458,48.0,104
M,300.0,309.1,1463,45.7,11
M,297.0,307.9,1422,53.0,115
M,300.4,311.2,1366,56.1,177
L,297.7,307.2,1444,40.0,17
L,303.2,311.3,1393,52.9,12
M,298.5,309.7,1354,60.8,96
M,300.1,309.4,1569,31.6,124
L,299.9,309.1,1412,48.3,198
H,300.4,309.5,1547,50.7,131
L,303.1,312.7,1353,51.8,97
M,300.0,309.1,1624,30.8,155
L,298.7,309.5,1446,40.0,160
M,302.3,311.8,1363,54.0,119
M,300.4,309.6,1563,34.0,6
M,301.4,310.6,1459,35.0,87
M,300.8,309.7,1519,39.7,16
M,300.5,311.6,1476,39.1,199
M,300.5,311.6,1456,51.1,193
L,299.1,310.5,1532,36.6,62
L,304.2,313.3,1410,51.6,47
L,301.1,310.8,1608,32.9,119
L,301.1,310.5,1529,38.7,91
M,297.4,308.3,1774,28.9,166
L,300.7,311.7,1910,19.7,13
L,299.1,308.6,1408,46.7,196
L,297.5,308.7,1454,45.0,19
L,301.6,310.6,1834,23.5,146
L,297.5,309.4,1650,34.6,142
L,302.2,311.4,1987,19.9,200
L,297.5,308.5,1530,38.5,93
L,302.4,310.2,1351,45.1,168
M,300.0,309.3,2293,16.3,170
H,299.2,308.4,1388,53.2,59
H,300.3,309.7,1582,30.8,144
M,299.7,309.6,1477,42.7,163
L,300.2,311.4,1452,47.8,34
H,301.4,310.7,1516,36.4,83
L,298.0,307.7,1479,42.5,47
H,301.8,311.1,1543,36.4,120
M,299.6,309.2,1651,30.8,92
L,303.7,312.0,1892,22.5,79
M,298.3,308.9,1390,49.7,23
M,301.8,311.1,1597,29.8,177
L,297.7,309.6,1529,35.2,153
M,300.8,311.2,1429,52.3,77
L,300.3,311.5,1378,47.5,64
L,296.7,307.7,1524,36.8,82
L,297.1,307.9,1456,50.0,166
M,299.6,311.1,1649,33.8,133
L,297.3,308.2,1490,41.0,16
M,301.9,311.0,1467,48.1,43
M,301.6,310.7,1457,47.8,7
M,299.4,308.9,1457,41.5,201
L,298.3,310.0,1507,44.7,73
L,302.3,311.6,1784,26.4,79
M,298.9,310.1,1484,37.9,73
M,298.5,309.3,1512,38.1,170
H,300.4,311.3,2026,20.3,26
M,299.8,309.4,1439,47.4,57
M,297.3,308.5,1524,49.3,176
L,303.7,312.3,1922,23.1,193
L,302.5,311.6,1595,29.5,35
L,298.1,307.9,1614,35.8,196
H,302.3,310.8,1438,43.8,119
L,303.5,311.6,1577,38.1,112
L,302.1,311.2,1369,50.8,164
M,301.9,310.9,1419,47.7,20
L,300.0,309.3,1558,29.7,168
M,300.2,309.5,1630,28.3,51
M,299.8,310.6,1694,31.3,121
H,300.8,311.4,1453,44.6,38
L,297.4,308.4,1343,40.0,61
H,295.6,306.1,1623,30.9,210
H,303.3,312.5,1328,49.8,120
H,297.8,308.4,1550,38.2,185
M,301.3,310.9,1512,36.9,159
M,303.7,312.4,1546,33.7,149
L,300.6,309.6,1426,53.6,66
M,297.5,309.1,1540,38.5,176
L,296.9,308.0,1514,41.0,120
M,301.6,310.4,1455,39.0,118
M,300.2,311.6,1467,40.7,23
L,297.4,308.5,1410,43.9,47
L,301.0,311.0,1634,31.2,182
L,298.5,309.0,1450,40.5,199
L,297.4,308.3,1336,53.7,61
M,300.9,310.3,1416,50.9,152
H,299.2,308.9,1712,26.4,95
L,297.1,308.4,1726,28.4,202
L,302.7,310.5,1563,35.0,8
M,296.6,307.5,1482,39.9,153
M,299.3,309.0,1420,41.6,155
L,299.0,310.2,1377,62.5,92
L,300.3,311.1,1676,28.6,158
M,301.8,310.9,1346,44.6,142
H,298.7,309.2,1449,42.3,182
L,297.4,308.6,1476,42.3,107
L,299.8,309.5,1545,32.2,18
M,300.7,309.5,1633,31.3,90
L,302.1,311.4,1549,44.6,31
H,299.4,309.3,1439,49.7,9
M,301.9,311.0,1432,41.5,51
H,301.3,310.1,1469,39.7,179
L,303.0,311.1,1525,40.7,179
L,300.5,311.4,1432,47.5,51
L,303.3,311.4,1658,30.5,7
M,302.5,310.3,1447,39.2,172
M,301.1,312.4,1809,25.1,126
L,298.1,309.0,1502,40.9,153
L,299.3,309.0,1415,47.6,156
L,299.8,309.9,1553,36.6,157
L,300.8,309.7,1997,20.7,5
M,301.9,309.6,1385,45.8,217
L,300.5,310.5,1452,42.9,29
L,302.7,310.5,1520,39.3,73
L,301.5,310.4,1474,39.9,53
L,302.4,311.1,1446,42.9,5
M,300.4,311.7,1832,24.2,179
M,301.7,311.1,1489,41.4,108
M,299.7,311.0,1448,49.8,80
L,298.9,310.2,1705,32.5,63
L,300.7,310.1,1721,32.3,170
L,299.9,310.2,1479,46.3,173
L,300.9,312.0,1441,43.8,210
M,298.2,308.5,2678,10.7,86
L,302.0,310.8,1767,27.4,11
L,297.7,308.1,1734,30.7,177
L,301.6,310.7,1683,29.7,131
M,300.2,309.7,1183,61.4,170
L,300.3,309.6,1468,44.7,179
L,303.9,313.3,1526,40.7,164
L,301.7,311.0,1441,44.3,208
L,298.0,307.7,1422,45.6,140
M,299.6,310.8,1603,35.4,202
M,302.3,310.9,1627,32.3,0
L,300.7,310.8,1563,33.8,104
L,299.4,310.6,1418,53.1,10
L,300.7,310.7,1416,40.4,214
M,297.9,308.8,1538,37.6,54
L,301.2,310.5,1546,40.0,55
L,301.4,310.3,1639,32.7,171
L,300.5,311.5,1487,43.0,78
L,302.5,311.9,1481,42.9,52
L,298.2,308.7,1407,45.1,49
L,302.0,310.4,1611,35.6,117
M,297.6,308.8,1453,39.7,69
L,297.6,308.3,1742,27.7,13
L,300.7,310.7,1541,41.3,82
M,301.3,310.7,1819,25.5,46
L,302.2,310.8,1827,23.8,9
M,299.0,310.1,1705,30.1,84
M,297.4,308.4,1517,41.0,18
M,302.0,310.6,1563,41.0,184
M,299.3,308.5,1404,49.4,93
L,298.1,308.6,1439,44.9,205
M,301.5,310.1,1468,40.8,32
M,300.2,310.2,1628,30.3,27
L,299.3,309.0,1511,47.8,148
L,303.5,312.4,1481,43.7,20
M,297.8,307.2,1456,39.6,199
M,302.6,310.4,1451,43.1,35
M,300.7,311.7,2097,18.9,232
